DMARC_POLICY_ALLOW_WITH_FAILURES,3064
R_SUSPICIOUS_IMAGES,3049
FROM_EXCESS_BASE64,2990
FREEMAIL_REPLYTO,2903
RCVD_IN_BRBL_LASTEXT,2858
RECEIVED_SPAMHAUS_PBL,2827
SUBJECT_HAS_EXCLAIM,2806
RBL_VIRUSFREE_BOTNET,2800
FREEMAIL_TO,2796
FORGED_SENDER_VERP_SRS,2785
R_SUSPICIOUS_URL,2758
ET_497_C3_MX_PROXY,2717
ET_822_URI,2660
ET_867_C3_LINK,2529
ET_881_C3_REPLY_FW,2487
ET_506_2_3D_OK_BULK_SEND,2456
ET_304_TRUST_DOMAIN,2418
ET_823_PHISHING,2373
ET_720_X_MX,2350
ET_732_DN_AUTO,2345
ET_815_FROM_MACHINE,2338
ET_1033_X_DOM_INVALID,2330
ET_455_TAGGED_NEQ_LINK,2324
SUBJECT_ENDS_SPACES,2300
MIME_BASE64_TEXT_BOGUS,2285
ET_516_3D_OK_MX_LINK,2248
R_BAD_CTE_7BIT,2224
MISSING_TO,2206
ET_744_1_ALL_QP_BASE,2200
VIOLATED_DIRECT_SPF,2172
EXT_CSS,2141
RBL_VIRUSFREE_UNKNOWN_FAIL,2126
R_SPF_FAIL,2125
SUBJECT_ENDS_QUESTION,2114
TO_EQ_FROM,2109
ET_301_FAKE_REPLY,2052
ET_501_MISSING_TO_NO_MAILER,2035
ET_228_NEQ_2_REPLYTO_NO_XM,2025
ET_843_C3_0_BAYES,2022
ET_485_TAGGED_SUBJECT,2011
RCVD_COUNT_FIVE,2011
ET_107_X_HEADER,2006
TO_EXCESS_QP,1997
ET_599_FREE_BAD_CONTENT,1989
ET_495_TAGGED_NEQ_MIME,1966
ET_303_DN_NEQ_DOMAIN,1945
R_DKIM_PERMFAIL,1935
RSPAMD_URIBL_FAIL,1862
NEURAL_HAM_LONG,1861
ENVFROM_VERP,1858
ET_819_REWRITE_HTML,1851
MID_CONTAINS_FROM,1820
ET_722_URL,1817
ET_570_FROM_NEQ_MID,1805
ET_106_X_AUTH,1791
LOCAL_REDIRECTOR_FALSE,1790
ET_109_X_HOSTS_BL,1789
SUBJ_EXCESS_BASE64,1787
HAS_X_PRIO_ONE,1778
XM_CASE,1759
ET_679_BAD_REPLY_FW,1757
R_MIXED_CHARSET,1731
MIME_BAD_ATTACHMENT,1726
ET_506_7_3D_OK_PROXY,1717
DKIM_MIXED,1702
ET_430_REPLYTO_NEQ_BAD_RECEIVER,1698
ET_9002_EDM,1678
AUTOGEN_PHP_SPAMMY,1666
ET_813_MISSING_TO,1666
ET_723_X_BAYES_PROXY,1633
DMARC_DNSFAIL,1617
R_SPF_DNSFAIL,1614
FAKE_REPLY,1595
REPLYTO_EXCESS_BASE64,1589
RBL_SENDERSCORE,1576
ET_1034_X_DOM_URL,1566
SUBJECT_HAS_QUESTION,1560
ET_871_BAD_FREE_CONTENT,1548
FROM_DN_EQ_ADDR,1510
ET_1007_SPOOF_REPLYTO_ACC,1500
ET_440_REPLYTO_NEQ_LINK,1440
RCPT_COUNT_FIVE,1433
ONCE_RECEIVED_STRICT,1428
ET_050_SUBJ_FW,1415
TO_DN_EQ_ADDR_SOME,1397
ET_425_REPLYTO_NEQ_BAD_MESSAGE,1384
ET_361_FROM_BASE64_QP,1377
ET_540_FREE_BAD_IP,1359
SURBL_MULTI_FAIL,1354
WHITELIST_SPF_DKIM,1349
ET_105_NEQ_BY_PROGRAM_MIME,1328
HTTP_TO_HTTPS,1323
TO_EXCESS_BASE64,1321
ET_499_C3_MX_PROXY_URL,1317
TO_DOM_EQ_FROM_DOM,1285
ET_620_DN_EQ_DOMAIN_NEQ,1240
ET_196_DOUBLE_NEQ_BAD_CONTENT,1234
RCVD_IN_BRBL_LASTEXT_FAIL,1232
ET_498_C3_MX_PROXY_BULK,1219
ET_580_FROM_NEQ_MID_HAS_LINK,1212
ET_480_TAGGED_LINK,1209
RDNS_NONE,1205
RBL_SPAMHAUS_CSS,1204
ET_687_FREEMAIL_TAG,1201
ET_666_FREE_AUTH_ERROR,1187
BOUNCE,1173
HAS_X_AS,1167
ET_724_FROM_GMAIL_TAG,1162
INVALID_MSGID,1161
RCPT_COUNT_SEVEN,1141
ET_717_BAYES_SPAM_MIME_ONLY,1138
MISSING_MIME_VERSION,1135
WHITELIST_DMARC,1130
ET_0092_INFO,1130
HAS_X_ANTIABUSE,1112
ET_844_C3_0_NXM,1103
ET_829_SMTP_AUTH,1102
ET_514_3D_OK_MX_URI_FILE,1076
R_UNDISC_RCPT,1067
ET_506_5_3D_OK_FREEREPLYTO_TAG,1063
ET_707_BAD_IP_NO_MX,1053
NEURAL_SPAM_LONG,1034
ET_503_POLICIES_FREEMAIL,1033
ET_706_TO_DN_AND_MIME,1023
ET_178_DIRECT_SEND_NEQ,1021
ET_677_C3_DOUBLE_PROXY,1012
ET_874_C3_BAYES,1003
RBL_SENDERSCORE_FAIL,997
ET_399_C3_NXM_VIA_MIME,993
ET_697_BAD_FW,989
ENVFROM_PRVS,979
RBL_NIXSPAM_FAIL,978
ET_662_UNKNOW_PROXY,968
HAS_X_SOURCE,968
ET_236_HTML_AUTH,962
ET_728_MID_DOUBLE_FQDN,941
PHISH_EMOTION,941
URIBL_BLACK,936
HAS_X_GMSV,930
ARC_REJECT,915
ET_872_NXM_C3,906
ET_506_6_C3_3D_OK_FREEREPLYTO_PHISHING,888
ET_739_NEQ_DOMAIN,875
MAILSPIKE_FAIL,866
ET_300_FW,864
ET_1009_SPOOF_REPLYTO_DOMAIN_PART,863
ET_506_3_3D_OK_MX,846
ET_505_MIME_BASE64_BOGUS,839
ET_136_HEADER_MISSING,835
ET_1230_GMAIL_FORWARD,833
TAGGED_RCPT,823
R_WHITE_ON_WHITE,823
ET_682_FAKE_REPLY_NXM,806
ET_704_R_TYPE,797
ET_537_FREE_BAD_RECIPIENTS,786
SEM_URIBL_FRESH15_UNKNOWN_FAIL,785
ET_1012_SPOOF_FROM_DN_PHISH_PART,784
ET_685_MIME_ONLY,783
ET_204_PKG_K,774
R_DKIM_TEMPFAIL,771
ET_698_BAD_FW_ATTACHMENT_URL,771
ET_211_FROM_NEQ_MID_ERROR,770
MID_MISSING_BRACKETS,769
ET_688_C3_FREEMAIL_TAG,760
FREEMAIL_CC,755
ET_365_BAD_SENDER,754
SEM_URIBL_UNKNOWN_FAIL,747
RCVD_COUNT_SEVEN,738
ET_345_DIRECT_MID_ERROR,721
ET_511_RETURN_MAIL_PROXY,716
ET_820_TO_EQ_FROM,712
R_SPF_PERMFAIL,712
DBL_FAIL,692
ET_616_NOT_GOOD_MAIL_2,687
ET_711_ZERO_X_BAYES_FILE,685
ET_540_1_C3_FREE_BAD_IP,680
ET_521_FAILURES_MISSING_TO,675
ET_179_DIRECT_SEND_NEQ_MIME,660
ET_708_FREE_SPAM,658
ET_537_2_FREE_BAD_RECIPIENTS_PROXY,654
ET_821_1_SPOOF_DOMAIN_NAME,649
DBL_PROHIBIT,642
INTRODUCTION,641
ET_1020_OUTLOOK_PROXY,637
ET_699_UNKNOWN_MX,633
ET_743_AUTH_NA_MX,633
MAILLIST,633
HFILTER_URL_ONELINE,631
ABUSE_SURBL,629
ET_510_RETURN_MAIL,628
ET_718_MIME_ONLY_BAD,624
HFILTER_HELO_5,620
RCPT_COUNT_TWELVE,617
ET_621_DN_EQ_DOMAIN_NEQ_BY_MACHINE,617
ET_693_X_AUTH_BY_MACHINE,614
HAS_XAW,614
ET_642_HOST_UNKNOWN_MISSING_BAYES,612
RSPAMD_EMAILBL_FAIL,610
ET_537_3_FREE_BAD_RECIPIENTS_BAD_CONTENT,604
HAS_ORG_HEADER,603
HAS_DATA_URI,585
MIME_HEADER_CTYPE_ONLY,583
ET_450_C3_REPLYTO_NEQ,581
DBL_SPAM,580
ET_017_C3_OK_BUT_PROXY,576
ET_678_DOUBLE_PROXY_BAD,573
ET_681_FAKE_REPLY,569
R_SPF_NEUTRAL,560
ET_506_11_3D_OK_X_RECEIVER,558
ET_510_1_RETURN_MAIL_FRESH_TAG,556
DMARC_POLICY_REJECT,554
ET_607_FREE_X_AUTH,552
SPAMHAUS_FAIL,550
RWL_SPAMHAUS_WL_FAIL,545
FORGED_SENDER_MAILLIST,542
ET_817_FROM_FREE_NXM,534
MID_RHS_WWW,521
ET_380_FORGED_RECIPIENTS_MIME,515
DMARC_POLICY_QUARANTINE,511
ET_370_FORGED_RECIPIENTS_REPLYTO_C3,498
RBL_NIXSPAM,484
HAS_WP_URI,482
RBL_SEM_FAIL,478
ET_506_13_3D_OK_MX_PROXY,472
ET_203_PKG_K,462
HFILTER_FROMHOST_NORES_A_OR_MX,458
DATE_IN_PAST,454
ET_1000_BMSEND,445
ET_1011_SPOOF_FROM_DN_PHISH,444
ET_171_FAKE_DOMAIN,443
HAS_X_POS,443
ET_721_X_MX_BAD_CONTENT,442
ET_204_PKG_K_SUBJ,439
HEADER_FORGED_MDN,435
CTE_CASE,434
ET_106_X_MAIL,432
ET_445_REPLYTO_NEQ_BAD_METHOD,429
MIME_UNKNOWN,428
ET_640_MISSING_AUTH,428
ET_694_X_AUTH_BY_MACHINE_HAS_FILE_BAD_URL,421
ET_172_C3_FAKE_DOMAIN,419
ET_676_DOUBLE_PROXY,419
ET_044_NO_XM_DATE,415
RECEIVED_SPAMHAUS_XBL,410
ET_372_FORGED_RECIPIENTS_FROM_FREE,406
ET_667_C3_FREE_AUTH_ERROR,402
ET_506_8_C3_3D_OK_PROXY,401
ET_737_FREE_UNKNOWN_DN_AUTO,401
URIBL_MULTI_FAIL,393
ET_729_COREMAIL_PROXY,389
ET_508_PHPMAILER_BAD,389
RBL_SPAMHAUS_SBL,384
ET_660_BAD_URL,381
ET_106_NEQ_BY_PROGRAM_LINK,379
ET_699_1_UNKNOWN_MX,376
ET_885_FROM_MACHINE_NMX,375
ET_295_HOSTNAME_UNKNOWN_MID,374
ET_702_C3_QP_BASE64,373
HFILTER_FROMHOST_NORESOLVE_MX,373
ET_741_EQ_SPF_FAIL,367
MID_BARE_IP,364
ET_623_DN_EQ_DOMAIN_NEQ_URL,361
ET_320_HEADER_ERROR,359
ET_745_C3_ALL_QP_BASE,358
ET_700_C3_UNKNOWN_MX,357
R_EMPTY_IMAGE,357
ET_650_NXM_BAD_ATT,357
ET_506_10_3D_OK_NEQ_REPLYTO,353
ET_398_1_NXM_VIA_MIME_X_AUTH,351
ET_1180_FORGED_OUTLOOK_MID,346
HTTP_TO_IP,345
ET_824_FREE_NEQ_FROM,345
CT_EXTRA_SEMI,335
ET_696_BAD_ATTACHMENT,333
ET_590_2_HEADER,330
RBL_SPAMHAUS_PBL,329
ET_886_C3_MIME_LINK,329
ET_838_R_TYPE,328
ET_811_BLACK_LIST_ZERO,327
ET_684_FAKE_REPLY_PROXY,326
ET_247_SMTP_AUTH_PROXY_MIME,322
MIME_BAD_EXTENSION,316
ET_520_MISSING_TO_BAD_R,313
DIRECT_TO_MX,310
FROM_NEQ_DISPLAY_NAME,308
ET_145_TO_NEQ_FROM,307
R_MISSING_CHARSET,298
RDNS_DNSFAIL,297
ET_703_QP_BASE64_MIME,295
FORGED_RECIPIENTS_MAILLIST,295
ET_325_C3_MX_ODD_FILE,292
CTYPE_MISSING_DISPOSITION,292
ET_225_NEQ_2_REPLYTO,286
ET_311_MID_FORGED,282
REPLYTO_UNPARSEABLE,281
MSBL_EBL_FAIL,274
ET_601_MIME,272
FROM_NAME_EXCESS_SPACE,271
ET_475_TAGGED_PHISHING,267
RBL_SPAMHAUS_XBL,266
ET_637_FAKE_REPLY_DN_ONCE_MIME,259
SUBJECT_NEEDS_ENCODING,259
ET_1125_XM_COREMAIL,258
MISSING_MIMEOLE,254
RBL_SORBS_WEB,252
ET_296_HOSTNAME_UNKNOWN,251
ET_879_C3_SEND_FROM_MAILER,250
ET_310_MID_FAKE_R,250
ET_315_MID_PHP,249
ET_846_C3_0_HFILTER,247
ET_716_MIME_ERROR_CLICK,247
ET_1002_SPOOF_DN_DOMAIN_PART,247
ET_827_BAD_EXTENSION,242
ET_299_C3_HOSTNAME_UNKNOWN,236
RCPT_COUNT_GT_50,235
ET_045_BAD_MIME_HAS_FILE_LINK,232
ET_603_BLACK_IP_ZERO_NXM,228
ET_318_FAKE_EDM,227
ET_326_3_BAD_NEW_DOMAIN_MIME,227
ET_636_C3_BAD_CONTENT,225
HAS_GOOGLE_REDIR,225
ET_218_NEQ_REPLYTO_FROM_MAILER_X_AUTH,224
ET_276_DIRECT_HAS_DOMAIN_ERROR,223
ET_268_XM_MID_ERROR,222
ET_643_C3_HOST_UNKNOWN_MISSING_BAYES,222
ET_608_C3_FREE_X_AUTH,217
ET_635_BAD_CONTENT,216
ENVFROM_SERVICE_ACCT,213
ET_396_FAKE_REPLY_MISSING_TO,211
SIGNED_SMIME,208
DATE_IN_FUTURE,204
ET_663_C3_UNKNOWN_PROXY,200
ET_510_3D_OK_HFILTER,200
LONG_SUBJ,200
ET_865_C3_NXM_UNKNOW_URI,199
ET_506_12_3D_OK_MID,196
ET_229_NEQ_2_REPLYTO_CONTENT,193
MULTIPLE_UNIQUE_HEADERS,193
FROM_NAME_HAS_TITLE,193
ET_828_MID_NOT_FQDN,192
ET_202_AGENT_SUBJ,192
